Class: "torch.storage.UntypedStorage", Private Base Class: "torch.storage._StorageBase"
Class: "torch.ao.nn.intrinsic.qat.modules.conv_fused.ConvBn3d", Private Base Class: "torch.ao.nn.intrinsic.qat.modules.conv_fused._ConvBnNd"
Class: "torch.ao.nn.quantized.modules.conv.Conv1d", Private Base Class: "torch.ao.nn.quantized.modules.conv._ConvNd"
Class: "torch.ao.nn.quantized.modules.conv.Conv2d", Private Base Class: "torch.ao.nn.quantized.modules.conv._ConvNd"
Class: "torch.ao.nn.quantized.modules.conv.Conv3d", Private Base Class: "torch.ao.nn.quantized.modules.conv._ConvNd"
Class: "torch.ao.nn.quantized.modules.batchnorm.BatchNorm2d", Private Base Class: "torch.ao.nn.quantized.modules.batchnorm._BatchNorm"
Class: "torch.ao.nn.quantized.modules.batchnorm.BatchNorm3d", Private Base Class: "torch.ao.nn.quantized.modules.batchnorm._BatchNorm"
Class: "torch.ao.nn.quantized.modules.conv.ConvTranspose1d", Private Base Class: "torch.ao.nn.quantized.modules.conv._ConvTransposeNd"
Class: "torch.ao.nn.quantized.modules.conv.ConvTranspose2d", Private Base Class: "torch.ao.nn.quantized.modules.conv._ConvTransposeNd"
Class: "torch.ao.nn.quantized.modules.conv.ConvTranspose3d", Private Base Class: "torch.ao.nn.quantized.modules.conv._ConvTransposeNd"
Class: "torch.nn.modules.instancenorm.InstanceNorm1d", Private Base Class: "torch.nn.modules.instancenorm._InstanceNorm"
Class: "torch.nn.modules.instancenorm.InstanceNorm2d", Private Base Class: "torch.nn.modules.instancenorm._InstanceNorm"
Class: "torch.nn.modules.instancenorm.InstanceNorm3d", Private Base Class: "torch.nn.modules.instancenorm._InstanceNorm"
Class: "torch.nn.modules.dropout.Dropout", Private Base Class: "torch.nn.modules.dropout._DropoutNd"
Class: "torch.ao.nn.quantized.reference.modules.conv.Conv1d", Private Base Class: "torch.ao.nn.quantized.reference.modules.conv._ConvNd"
Class: "torch.ao.nn.quantized.reference.modules.conv.Conv2d", Private Base Class: "torch.ao.nn.quantized.reference.modules.conv._ConvNd"
Class: "torch.ao.nn.quantized.reference.modules.conv.Conv3d", Private Base Class: "torch.ao.nn.quantized.reference.modules.conv._ConvNd"
Class: "torch.ao.nn.quantized.reference.modules.conv.ConvTranspose1d", Private Base Class: "torch.ao.nn.quantized.reference.modules.conv._ConvTransposeNd"
Class: "torch.nn.modules.conv.ConvTranspose1d", Private Base Class: "torch.nn.modules.conv._ConvTransposeNd"
Class: "torch.ao.nn.quantized.reference.modules.conv.ConvTranspose2d", Private Base Class: "torch.ao.nn.quantized.reference.modules.conv._ConvTransposeNd"
Class: "torch.nn.modules.conv.ConvTranspose2d", Private Base Class: "torch.nn.modules.conv._ConvTransposeNd"
Class: "torch.ao.nn.quantized.reference.modules.conv.ConvTranspose3d", Private Base Class: "torch.ao.nn.quantized.reference.modules.conv._ConvTransposeNd"
Class: "torch.nn.modules.conv.ConvTranspose3d", Private Base Class: "torch.nn.modules.conv._ConvTransposeNd"
Class: "torch.ao.quantization.fx.tracer.QuantizationTracer", Private Base Class: "torch.fx._symbolic_trace.Tracer"
Class: "torch.autograd.function.Function", Private Base Class: "torch.autograd.function._SingleLevelFunction"
Class: "torch.autograd.grad_mode.set_multithreading_enabled", Private Base Class: "torch.utils._contextlib._DecoratorContextManager"
Class: "torch.autograd.variable.Variable", Private Base Class: "torch._C._LegacyVariableBase"
Class: "torch.autograd.forward_ad.dual_level", Private Base Class: "torch.utils._contextlib._DecoratorContextManager"
Class: "torch.autograd.function.BackwardCFunction", Private Base Class: "torch._C._FunctionBase"
Class: "torch.autograd.profiler.record_function", Private Base Class: "torch.autograd.profiler._ContextDecorator"
Class: "torch.cuda.graphs.CUDAGraph", Private Base Class: "torch._C._CUDAGraph"
Class: "torch.cuda.streams.Stream", Private Base Class: "torch._C._CudaStreamBase"
Class: "torch.cuda.streams.Event", Private Base Class: "torch._C._CudaEventBase"
Class: "torch.cuda.memory.CUDAPluggableAllocator", Private Base Class: "torch.cuda.memory._CUDAAllocator"
Class: "torch.cuda.ByteStorage", Private Base Class: "torch.cuda._CudaLegacyStorage"
Class: "torch.cuda.DoubleStorage", Private Base Class: "torch.cuda._CudaLegacyStorage"
Class: "torch.cuda.FloatStorage", Private Base Class: "torch.cuda._CudaLegacyStorage"
Class: "torch.cuda.HalfStorage", Private Base Class: "torch.cuda._CudaLegacyStorage"
Class: "torch.cuda.LongStorage", Private Base Class: "torch.cuda._CudaLegacyStorage"
Class: "torch.cuda.IntStorage", Private Base Class: "torch.cuda._CudaLegacyStorage"
Class: "torch.cuda.ShortStorage", Private Base Class: "torch.cuda._CudaLegacyStorage"
Class: "torch.cuda.CharStorage", Private Base Class: "torch.cuda._CudaLegacyStorage"
Class: "torch.cuda.BoolStorage", Private Base Class: "torch.cuda._CudaLegacyStorage"
Class: "torch.cuda.BFloat16Storage", Private Base Class: "torch.cuda._CudaLegacyStorage"
Class: "torch.cuda.ComplexDoubleStorage", Private Base Class: "torch.cuda._CudaLegacyStorage"
Class: "torch.cuda.ComplexFloatStorage", Private Base Class: "torch.cuda._CudaLegacyStorage"
Class: "torch.futures.Future", Private Base Class: "torch._C.Future"
Class: "torch.distributed.checkpoint.filesystem.FileSystemWriter", Private Base Class: "torch.distributed.checkpoint.filesystem._FileSystemWriter"
Class: "torch.distributed.checkpoint.hf_storage.HuggingFaceStorageWriter", Private Base Class: "torch.distributed.checkpoint._fsspec_filesystem.FsspecWriter"
Class: "torch.distributed.checkpoint.hf_storage.HuggingFaceStorageReader", Private Base Class: "torch.distributed.checkpoint._fsspec_filesystem.FsspecReader"
Class: "torch.distributed.elastic.rendezvous.etcd_store.EtcdStore", Private Base Class: "torch._C._distributed_c10d.Store"
Class: "torch.distributed.fsdp.fully_sharded_data_parallel.FullyShardedDataParallel", Private Base Class: "torch.distributed.fsdp._common_utils._FSDPState"
Class: "torch.distributed.nn.api.remote_module.RemoteModule", Private Base Class: "torch.distributed.nn.api.remote_module._RemoteModule"
Class: "torch.distributed.pipelining.schedules.PipelineScheduleSingle", Private Base Class: "torch.distributed.pipelining.schedules._PipelineSchedule"
Class: "torch.distributed.pipelining.schedules.PipelineScheduleMulti", Private Base Class: "torch.distributed.pipelining.schedules._PipelineSchedule"
Class: "torch.distributed.pipelining.stage.PipelineStage", Private Base Class: "torch.distributed.pipelining.stage._PipelineStageBase"
Class: "torch.distributed.tensor.parallel.fsdp.DTensorExtensions", Private Base Class: "torch.distributed.fsdp._fsdp_extensions.FSDPExtensions"
Class: "torch.fx.interpreter.Transformer.TransformerTracer", Private Base Class: "torch.fx._symbolic_trace.Tracer"
Class: "torch.fx.experimental.meta_tracer.MetaTracer", Private Base Class: "torch.fx._symbolic_trace.Tracer"
Class: "torch.fx.experimental.proxy_tensor.PythonKeyTracer", Private Base Class: "torch.fx._symbolic_trace.Tracer"
Class: "torch.fx.experimental.proxy_tensor.ProxyTorchDispatchMode", Private Base Class: "torch.utils._python_dispatch.TorchDispatchMode"
Class: "torch.fx.experimental.rewriter.RewritingTracer", Private Base Class: "torch.fx._symbolic_trace.Tracer"
Class: "torch.fx.experimental.symbolic_shapes.SymExprPrinter", Private Base Class: "torch.utils._sympy.printers.PythonPrinter"
Class: "torch.fx.experimental.symbolic_shapes.ShapeGuardPythonPrinter", Private Base Class: "torch.fx.experimental.symbolic_shapes._ShapeGuardPrinter"
Class: "torch.fx.experimental.symbolic_shapes.ShapeGuardPythonPrinter", Private Base Class: "torch.utils._sympy.printers.PythonPrinter"
Class: "torch.fx.experimental.symbolic_shapes.DynamicDimConstraintPrinter", Private Base Class: "torch.utils._sympy.printers.PythonPrinter"
Class: "torch.jit.quantized.QuantizedLinear", Private Base Class: "torch.jit._script.ScriptModule"
Class: "torch.jit.quantized.QuantizedLinearFP16", Private Base Class: "torch.jit._script.ScriptModule"
Class: "torch.jit.quantized.QuantizedRNNCellBase", Private Base Class: "torch.jit._script.ScriptModule"
Class: "torch.jit.quantized.QuantizedRNNBase", Private Base Class: "torch.jit._script.ScriptModule"
Class: "torch.masked.maskedtensor.core.MaskedTensor", Private Base Class: "torch._tensor.Tensor"
Class: "torch.nn.parameter.Buffer", Private Base Class: "torch._tensor.Tensor"
Class: "torch.nn.parameter.UninitializedBuffer", Private Base Class: "torch._tensor.Tensor"
Class: "torch.nn.parameter.UninitializedParameter", Private Base Class: "torch._tensor.Tensor"
Class: "torch.nn.modules.pooling.AdaptiveAvgPool1d", Private Base Class: "torch.nn.modules.pooling._AdaptiveAvgPoolNd"
Class: "torch.nn.modules.pooling.AdaptiveAvgPool2d", Private Base Class: "torch.nn.modules.pooling._AdaptiveAvgPoolNd"
Class: "torch.nn.modules.pooling.AdaptiveAvgPool3d", Private Base Class: "torch.nn.modules.pooling._AdaptiveAvgPoolNd"
Class: "torch.nn.modules.pooling.AdaptiveMaxPool1d", Private Base Class: "torch.nn.modules.pooling._AdaptiveMaxPoolNd"
Class: "torch.nn.modules.pooling.AdaptiveMaxPool2d", Private Base Class: "torch.nn.modules.pooling._AdaptiveMaxPoolNd"
Class: "torch.nn.modules.pooling.AdaptiveMaxPool3d", Private Base Class: "torch.nn.modules.pooling._AdaptiveMaxPoolNd"
Class: "torch.nn.modules.dropout.AlphaDropout", Private Base Class: "torch.nn.modules.dropout._DropoutNd"
Class: "torch.nn.modules.pooling.AvgPool1d", Private Base Class: "torch.nn.modules.pooling._AvgPoolNd"
Class: "torch.nn.modules.pooling.AvgPool2d", Private Base Class: "torch.nn.modules.pooling._AvgPoolNd"
Class: "torch.nn.modules.pooling.AvgPool3d", Private Base Class: "torch.nn.modules.pooling._AvgPoolNd"
Class: "torch.nn.modules.loss.BCELoss", Private Base Class: "torch.nn.modules.loss._WeightedLoss"
Class: "torch.nn.modules.loss.BCEWithLogitsLoss", Private Base Class: "torch.nn.modules.loss._Loss"
Class: "torch.nn.modules.batchnorm.BatchNorm2d", Private Base Class: "torch.nn.modules.batchnorm._BatchNorm"
Class: "torch.nn.modules.batchnorm.BatchNorm3d", Private Base Class: "torch.nn.modules.batchnorm._BatchNorm"
Class: "torch.nn.modules.loss.CTCLoss", Private Base Class: "torch.nn.modules.loss._Loss"
Class: "torch.nn.modules.padding.CircularPad1d", Private Base Class: "torch.nn.modules.padding._CircularPadNd"
Class: "torch.nn.modules.padding.CircularPad2d", Private Base Class: "torch.nn.modules.padding._CircularPadNd"
Class: "torch.nn.modules.padding.CircularPad3d", Private Base Class: "torch.nn.modules.padding._CircularPadNd"
Class: "torch.nn.modules.padding.ConstantPad1d", Private Base Class: "torch.nn.modules.padding._ConstantPadNd"
Class: "torch.nn.modules.padding.ConstantPad2d", Private Base Class: "torch.nn.modules.padding._ConstantPadNd"
Class: "torch.nn.modules.padding.ConstantPad3d", Private Base Class: "torch.nn.modules.padding._ConstantPadNd"
Class: "torch.nn.modules.loss.CosineEmbeddingLoss", Private Base Class: "torch.nn.modules.loss._Loss"
Class: "torch.nn.modules.loss.CrossEntropyLoss", Private Base Class: "torch.nn.modules.loss._WeightedLoss"
Class: "torch.nn.modules.dropout.Dropout1d", Private Base Class: "torch.nn.modules.dropout._DropoutNd"
Class: "torch.nn.modules.dropout.Dropout2d", Private Base Class: "torch.nn.modules.dropout._DropoutNd"
Class: "torch.nn.modules.dropout.Dropout3d", Private Base Class: "torch.nn.modules.dropout._DropoutNd"
Class: "torch.nn.modules.dropout.FeatureAlphaDropout", Private Base Class: "torch.nn.modules.dropout._DropoutNd"
Class: "torch.nn.modules.loss.GaussianNLLLoss", Private Base Class: "torch.nn.modules.loss._Loss"
Class: "torch.nn.modules.loss.HingeEmbeddingLoss", Private Base Class: "torch.nn.modules.loss._Loss"
Class: "torch.nn.modules.loss.HuberLoss", Private Base Class: "torch.nn.modules.loss._Loss"
Class: "torch.nn.modules.loss.KLDivLoss", Private Base Class: "torch.nn.modules.loss._Loss"
Class: "torch.nn.modules.loss.L1Loss", Private Base Class: "torch.nn.modules.loss._Loss"
Class: "torch.nn.modules.pooling.LPPool1d", Private Base Class: "torch.nn.modules.pooling._LPPoolNd"
Class: "torch.nn.modules.pooling.LPPool2d", Private Base Class: "torch.nn.modules.pooling._LPPoolNd"
Class: "torch.nn.modules.pooling.LPPool3d", Private Base Class: "torch.nn.modules.pooling._LPPoolNd"
Class: "torch.nn.modules.batchnorm.LazyBatchNorm1d", Private Base Class: "torch.nn.modules.batchnorm._LazyNormBase"
Class: "torch.nn.modules.batchnorm.LazyBatchNorm1d", Private Base Class: "torch.nn.modules.batchnorm._BatchNorm"
Class: "torch.nn.modules.batchnorm.LazyBatchNorm2d", Private Base Class: "torch.nn.modules.batchnorm._LazyNormBase"
Class: "torch.nn.modules.batchnorm.LazyBatchNorm2d", Private Base Class: "torch.nn.modules.batchnorm._BatchNorm"
Class: "torch.nn.modules.batchnorm.LazyBatchNorm3d", Private Base Class: "torch.nn.modules.batchnorm._LazyNormBase"
Class: "torch.nn.modules.batchnorm.LazyBatchNorm3d", Private Base Class: "torch.nn.modules.batchnorm._BatchNorm"
Class: "torch.nn.modules.conv.LazyConv1d", Private Base Class: "torch.nn.modules.conv._LazyConvXdMixin"
Class: "torch.nn.modules.conv.LazyConv2d", Private Base Class: "torch.nn.modules.conv._LazyConvXdMixin"
Class: "torch.nn.modules.conv.LazyConv3d", Private Base Class: "torch.nn.modules.conv._LazyConvXdMixin"
Class: "torch.nn.modules.conv.LazyConvTranspose1d", Private Base Class: "torch.nn.modules.conv._LazyConvXdMixin"
Class: "torch.nn.modules.conv.LazyConvTranspose2d", Private Base Class: "torch.nn.modules.conv._LazyConvXdMixin"
Class: "torch.nn.modules.conv.LazyConvTranspose3d", Private Base Class: "torch.nn.modules.conv._LazyConvXdMixin"
Class: "torch.nn.modules.instancenorm.LazyInstanceNorm1d", Private Base Class: "torch.nn.modules.batchnorm._LazyNormBase"
Class: "torch.nn.modules.instancenorm.LazyInstanceNorm1d", Private Base Class: "torch.nn.modules.instancenorm._InstanceNorm"
Class: "torch.nn.modules.instancenorm.LazyInstanceNorm2d", Private Base Class: "torch.nn.modules.batchnorm._LazyNormBase"
Class: "torch.nn.modules.instancenorm.LazyInstanceNorm2d", Private Base Class: "torch.nn.modules.instancenorm._InstanceNorm"
Class: "torch.nn.modules.instancenorm.LazyInstanceNorm3d", Private Base Class: "torch.nn.modules.batchnorm._LazyNormBase"
Class: "torch.nn.modules.instancenorm.LazyInstanceNorm3d", Private Base Class: "torch.nn.modules.instancenorm._InstanceNorm"
Class: "torch.nn.modules.loss.MSELoss", Private Base Class: "torch.nn.modules.loss._Loss"
Class: "torch.nn.modules.loss.MarginRankingLoss", Private Base Class: "torch.nn.modules.loss._Loss"
Class: "torch.nn.modules.pooling.MaxPool1d", Private Base Class: "torch.nn.modules.pooling._MaxPoolNd"
Class: "torch.nn.modules.pooling.MaxPool2d", Private Base Class: "torch.nn.modules.pooling._MaxPoolNd"
Class: "torch.nn.modules.pooling.MaxPool3d", Private Base Class: "torch.nn.modules.pooling._MaxPoolNd"
Class: "torch.nn.modules.pooling.MaxUnpool1d", Private Base Class: "torch.nn.modules.pooling._MaxUnpoolNd"
Class: "torch.nn.modules.pooling.MaxUnpool2d", Private Base Class: "torch.nn.modules.pooling._MaxUnpoolNd"
Class: "torch.nn.modules.pooling.MaxUnpool3d", Private Base Class: "torch.nn.modules.pooling._MaxUnpoolNd"
Class: "torch.nn.modules.loss.MultiLabelMarginLoss", Private Base Class: "torch.nn.modules.loss._Loss"
Class: "torch.nn.modules.loss.MultiLabelSoftMarginLoss", Private Base Class: "torch.nn.modules.loss._WeightedLoss"
Class: "torch.nn.modules.loss.MultiMarginLoss", Private Base Class: "torch.nn.modules.loss._WeightedLoss"
Class: "torch.nn.modules.loss.NLLLoss", Private Base Class: "torch.nn.modules.loss._WeightedLoss"
Class: "torch.nn.modules.loss.PoissonNLLLoss", Private Base Class: "torch.nn.modules.loss._Loss"
Class: "torch.nn.modules.padding.ReflectionPad1d", Private Base Class: "torch.nn.modules.padding._ReflectionPadNd"
Class: "torch.nn.modules.padding.ReflectionPad2d", Private Base Class: "torch.nn.modules.padding._ReflectionPadNd"
Class: "torch.nn.modules.padding.ReflectionPad3d", Private Base Class: "torch.nn.modules.padding._ReflectionPadNd"
Class: "torch.nn.modules.padding.ReplicationPad1d", Private Base Class: "torch.nn.modules.padding._ReplicationPadNd"
Class: "torch.nn.modules.padding.ReplicationPad2d", Private Base Class: "torch.nn.modules.padding._ReplicationPadNd"
Class: "torch.nn.modules.padding.ReplicationPad3d", Private Base Class: "torch.nn.modules.padding._ReplicationPadNd"
Class: "torch.nn.modules.loss.SmoothL1Loss", Private Base Class: "torch.nn.modules.loss._Loss"
Class: "torch.nn.modules.loss.SoftMarginLoss", Private Base Class: "torch.nn.modules.loss._Loss"
Class: "torch.nn.modules.batchnorm.SyncBatchNorm", Private Base Class: "torch.nn.modules.batchnorm._BatchNorm"
Class: "torch.nn.modules.loss.TripletMarginLoss", Private Base Class: "torch.nn.modules.loss._Loss"
Class: "torch.nn.modules.loss.TripletMarginWithDistanceLoss", Private Base Class: "torch.nn.modules.loss._Loss"
Class: "torch.nn.attention.bias.CausalBias", Private Base Class: "torch._tensor.Tensor"
Class: "torch.profiler.profiler.ExecutionTraceObserver", Private Base Class: "torch.profiler.profiler._ITraceObserver"
Class: "torch.profiler.profiler.profile", Private Base Class: "torch.profiler.profiler._KinetoProfile"
Class: "torch.serialization.safe_globals", Private Base Class: "torch._weights_only_unpickler._safe_globals"
Class: "torch.sparse.semi_structured.SparseSemiStructuredTensor", Private Base Class: "torch._tensor.Tensor"
Class: "torch.utils.data.datapipes.iter.sharding.ShardingFilterIterDataPipe", Private Base Class: "torch.utils.data.datapipes.iter.sharding._ShardingIterDataPipe"
Class: "torch.utils.mkldnn.MkldnnLinear", Private Base Class: "torch.jit._script.ScriptModule"
Class: "torch.utils.mkldnn.MkldnnConv1d", Private Base Class: "torch.utils.mkldnn._MkldnnConvNd"
Class: "torch.utils.mkldnn.MkldnnConv2d", Private Base Class: "torch.utils.mkldnn._MkldnnConvNd"
Class: "torch.utils.mkldnn.MkldnnConv3d", Private Base Class: "torch.utils.mkldnn._MkldnnConvNd"
Class: "torch.utils.mkldnn.MkldnnBatchNorm", Private Base Class: "torch.jit._script.ScriptModule"
Class: "torch.utils.mkldnn.MkldnnPrelu", Private Base Class: "torch.jit._script.ScriptModule"
Class: "torch.xpu.streams.Event", Private Base Class: "torch._C._XpuEventBase"
Class: "torch.xpu.streams.Stream", Private Base Class: "torch._C._XpuStreamBase"
