Grouped by Parameter and Type:
Parameter: "padding", Type: "int | SymInt | Sequence[int | SymInt]", Count: 12
Parameter: "device", Type: "int | str | device", Count: 12
Parameter: "store", Type: "Store", Count: 12
Parameter: "scale", Type: "Tensor | float", Count: 12
Parameter: "mat", Type: "Tensor", Count: 11
Parameter: "vec2", Type: "Tensor", Count: 11
Parameter: "w", Type: "Tensor", Count: 11
Parameter: "backend_config", Type: "BackendConfig", Count: 11
Parameter: "graph_module", Type: "GraphModule", Count: 11
Parameter: "tensor1", Type: "Tensor", Count: 10
Parameter: "tensor2", Type: "Tensor", Count: 10
Parameter: "end", Type: "Tensor", Count: 10
Parameter: "running_mean", Type: "Tensor | None", Count: 10
Parameter: "running_var", Type: "Tensor | None", Count: 10
Parameter: "data", Type: "Tensor", Count: 10
Parameter: "state_dict", Type: "dict[str, Unknown | Any]", Count: 10
Parameter: "checkpoint_id", Type: "str | PathLike[Unknown]", Count: 10
Parameter: "exponent", Type: "Tensor", Count: 9
Parameter: "input1", Type: "Tensor", Count: 9
Parameter: "device", Type: "int | device | None", Count: 9
Parameter: "b", Type: "Tensor | None", Count: 9
Parameter: "bucket", Type: "GradBucket", Count: 9
Parameter: "source", Type: "Source", Count: 9
Parameter: "func", Type: "OpOverload[..., Any]", Count: 9
Parameter: "min", Type: "Tensor | None", Count: 8
Parameter: "max", Type: "Tensor | None", Count: 8
Parameter: "values", Type: "Tensor", Count: 8
Parameter: "new_state", Type: "Tensor", Count: 8
Parameter: "mean", Type: "Tensor", Count: 8
Parameter: "x1", Type: "Tensor", Count: 8
Parameter: "x2", Type: "Tensor", Count: 8
Parameter: "w_ih", Type: "Tensor", Count: 8
Parameter: "w_hh", Type: "Tensor", Count: 8
Parameter: "backend_config", Type: "BackendConfig | dict[str, Any] | None", Count: 8
Parameter: "process_group", Type: "ProcessGroup", Count: 8
Parameter: "loc", Type: "Tensor | float", Count: 8
Parameter: "example_inputs", Type: "list[tuple[Unknown, ...]] | dict[(...) -> Unknown, list[tuple[Unknown, ...]]] | None", Count: 8
Parameter: "_random_samples", Type: "Tensor | None", Count: 8
Parameter: "vec1", Type: "Tensor", Count: 7
Parameter: "storage_offset", Type: "int | SymInt | None", Count: 7
Parameter: "device", Type: "str | device", Count: 7
Parameter: "A", Type: "Tensor", Count: 7
Parameter: "condition", Type: "Tensor", Count: 7
Parameter: "query", Type: "Tensor", Count: 7
Parameter: "attn_mask", Type: "Tensor | None", Count: 7
Parameter: "permutation", Type: "Tensor | None", Count: 7
Parameter: "hx", Type: "Tensor | None", Count: 7
Parameter: "stream", Type: "Stream | None", Count: 7
Parameter: "metadata", Type: "Metadata", Count: 7
Parameter: "params", Type: "RendezvousParameters", Count: 7
Parameter: "probs", Type: "Tensor | None", Count: 7
Parameter: "logits", Type: "Tensor | None", Count: 7
Parameter: "source", Type: "Source | None", Count: 7
Parameter: "shape_env", Type: "ShapeEnv | None", Count: 7
Parameter: "original_tensor", Type: "Tensor", Count: 7
Parameter: "datapipe", Type: "IterDataPipe[Unknown]", Count: 7
Parameter: "storage", Type: "Storage", Count: 6
Parameter: "other", Type: "Tensor | int | float | bool | complex | SymInt | SymFloat", Count: 6
Parameter: "k", Type: "int | SymInt", Count: 6
Parameter: "start", Type: "Tensor", Count: 6
Parameter: "length", Type: "int | SymInt", Count: 6
Parameter: "bias", Type: "Tensor", Count: 6
Parameter: "output_padding", Type: "int | SymInt | Sequence[int | SymInt]", Count: 6
Parameter: "per_sample_weights", Type: "Tensor | None", Count: 6
Parameter: "high", Type: "int | SymInt", Count: 6
Parameter: "offsets", Type: "Tensor | None", Count: 6
Parameter: "values", Type: "Tensor | list[Unknown]", Count: 6
Parameter: "_weight", Type: "Tensor | None", Count: 6
Parameter: "qconfig", Type: "QConfig | None", Count: 6
Parameter: "key", Type: "Tensor", Count: 6
Parameter: "root", Type: "Module | dict[str, Any]", Count: 6
Parameter: "m", Type: "Module", Count: 6
Parameter: "quantization_config", Type: "QuantizationConfig | None", Count: 6
Parameter: "group", Type: "ProcessGroup", Count: 6
Parameter: "checkpoint_id", Type: "str | PathLike[Unknown] | None", Count: 6
Parameter: "optim", Type: "Optimizer", Count: 6
Parameter: "lib", Type: "Library | None", Count: 6
Parameter: "op", Type: "str | OpOverload[..., Any] | Any", Count: 6
Parameter: "datapipe", Type: "IterDataPipe[Unknown] | MapDataPipe[Unknown]", Count: 6
Parameter: "other", Type: "Tensor | int | float | bool", Count: 5
Parameter: "output_size", Type: "int | SymInt | None", Count: 5
Parameter: "index", Type: "int | SymInt", Count: 5
Parameter: "start", Type: "int | SymInt | None", Count: 5
Parameter: "end", Type: "int | SymInt | None", Count: 5
Parameter: "step", Type: "int | SymInt", Count: 5
Parameter: "invstd", Type: "Tensor", Count: 5
Parameter: "grid", Type: "Tensor", Count: 5
Parameter: "anchor", Type: "Tensor", Count: 5
Parameter: "positive", Type: "Tensor", Count: 5
Parameter: "negative", Type: "Tensor", Count: 5
Parameter: "tensors", Type: "Tensor", Count: 5
Parameter: "stream", Type: "Stream", Count: 5
Parameter: "quantization_config", Type: "QuantizationConfig", Count: 5
Parameter: "input_tensor", Type: "Tensor", Count: 5
Parameter: "process_group", Type: "ProcessGroup | None", Count: 5
Parameter: "probs", Type: "Tensor | int | float | bool | None", Count: 5
Parameter: "logits", Type: "Tensor | int | float | bool | None", Count: 5
Parameter: "x", Type: "int | float | Any | Unknown", Count: 5
Parameter: "fx_module", Type: "GraphModule", Count: 5
Parameter: "module", Type: "GraphModule", Count: 5
Parameter: "obj", Type: "Tensor", Count: 5
Parameter: "a", Type: "bool | SymBool", Count: 5
Parameter: "args", Type: "tuple[Unknown, ...]", Count: 4
Parameter: "max", Type: "Tensor", Count: 4
Parameter: "min", Type: "Tensor", Count: 4
Parameter: "other", Type: "Tensor | int | float | bool | SymInt | SymFloat", Count: 4
Parameter: "window", Type: "Tensor | None", Count: 4
Parameter: "q", Type: "Tensor", Count: 4
Parameter: "start", Type: "int | SymInt", Count: 4
Parameter: "the_template", Type: "Tensor", Count: 4
Parameter: "device", Type: "str | device | int", Count: 4
Parameter: "model", Type: "ScriptModule", Count: 4
Parameter: "mod", Type: "ScriptModule", Count: 4
Parameter: "input", Type: "Tensor | int | float | bool | complex", Count: 4
Parameter: "log_probs", Type: "Tensor", Count: 4
Parameter: "targets", Type: "Tensor", Count: 4
Parameter: "n", Type: "int | SymInt", Count: 4
Parameter: "scale", Type: "Tensor", Count: 4
Parameter: "zero_point", Type: "Tensor", Count: 4
Parameter: "batch_sizes", Type: "Tensor", Count: 4
Parameter: "b_ih", Type: "Tensor | None", Count: 4
Parameter: "b_hh", Type: "Tensor | None", Count: 4
Parameter: "b_ih", Type: "Tensor", Count: 4
Parameter: "b_hh", Type: "Tensor", Count: 4
Parameter: "packed_ih", Type: "Tensor", Count: 4
Parameter: "packed_hh", Type: "Tensor", Count: 4
Parameter: "col_offsets_ih", Type: "Tensor", Count: 4
Parameter: "col_offsets_hh", Type: "Tensor", Count: 4
Parameter: "key_padding_mask", Type: "Tensor | None", Count: 4
Parameter: "root", Type: "Module", Count: 4
Parameter: "fuser_method_mapping", Type: "dict[((...) -> Unknown) | tuple[(...) -> Unknown, (...) -> Unknown] | tuple[(...) -> Unknown, tuple[(...) -> Unknown, (...) -> Unknown]] | Any, Sequential | ((...) -> Unknown)]", Count: 4
Parameter: "args", Type: "Tensor", Count: 4
Parameter: "inputs", Type: "Tensor | Sequence[Tensor]", Count: 4
Parameter: "output_tensor", Type: "Tensor", Count: 4
Parameter: "write_item", Type: "WriteItem", Count: 4
Parameter: "planner", Type: "LoadPlanner", Count: 4
Parameter: "optimizers", Type: "Optimizer | Iterable[Optimizer]", Count: 4
Parameter: "args", Type: "dict[int, tuple[Unknown, ...]]", Count: 4
Parameter: "concentration", Type: "Tensor | float", Count: 4
Parameter: "temperature", Type: "Tensor", Count: 4
Parameter: "obj", Type: "ScriptObject | FakeScriptObject", Count: 4
Parameter: "obj", Type: "SymInt | SymFloat | SymBool", Count: 4
Parameter: "key", Type: "SymInt | SymFloat | SymBool", Count: 4
Parameter: "x", Type: "bool | SymBool", Count: 4
Parameter: "bn", Type: "_BatchNorm", Count: 4
Parameter: "bn_rm", Type: "Tensor", Count: 4
Parameter: "bn_rv", Type: "Tensor", Count: 4
Parameter: "input", Type: "Value", Count: 4
Parameter: "self", Type: "Value", Count: 4
Parameter: "model", Type: "Module | ((...) -> Unknown)", Count: 4
Parameter: "optimizer", Type: "Optimizer | None", Count: 4
Parameter: "wrapper_class", Type: "type[DataChunk[Unknown]]", Count: 4
Parameter: "datapipes", Type: "IterDataPipe[Unknown]", Count: 4
Parameter: "event", Type: "Event", Count: 3
Parameter: "LU_data", Type: "Tensor", Count: 3
Parameter: "LU_pivots", Type: "Tensor", Count: 3
Parameter: "repeats", Type: "int | SymInt", Count: 3
Parameter: "repeats", Type: "Tensor", Count: 3
Parameter: "split_size", Type: "int | SymInt", Count: 3
Parameter: "map_location", Type: "((Storage, str) -> Storage) | device | str | dict[str, str] | None", Count: 3
Parameter: "theta", Type: "Tensor", Count: 3
Parameter: "pos_weight", Type: "Tensor | None", Count: 3
Parameter: "input_lengths", Type: "Tensor", Count: 3
Parameter: "target_lengths", Type: "Tensor", Count: 3
Parameter: "input", Type: "Tensor | int | float | bool", Count: 3
Parameter: "low", Type: "int | SymInt", Count: 3
Parameter: "sorted_indices", Type: "Tensor | None", Count: 3
Parameter: "hidden", Type: "Tensor", Count: 3
Parameter: "arg", Type: "tuple[Argument, ...] | Sequence[Argument] | Mapping[str, Argument] | slice[Any, Any, Any] | range | Node | str | int | float | bool | complex | dtype | Tensor | device | memory_format | layout | OpOverload[..., Any] | SymInt | SymBool | SymFloat | None", Count: 3
Parameter: "root", Type: "Module | ((...) -> Any)", Count: 3
Parameter: "obj", Type: "Proxy", Count: 3
Parameter: "base_name_to_sets_of_related_ops", Type: "dict[str, set[((...) -> Unknown) | str]]", Count: 3
Parameter: "m", Type: "GraphModule", Count: 3
Parameter: "X", Type: "Tensor", Count: 3
Parameter: "min_val", Type: "Tensor", Count: 3
Parameter: "max_val", Type: "Tensor", Count: 3
Parameter: "ep", Type: "ExportedProgram", Count: 3
Parameter: "q1", Type: "QConfig | None", Count: 3
Parameter: "q2", Type: "QConfig | None", Count: 3
Parameter: "additional_static_quant_mapping", Type: "dict[(...) -> Unknown, Any] | None", Count: 3
Parameter: "additional_dynamic_quant_mapping", Type: "dict[(...) -> Unknown, Any] | None", Count: 3
Parameter: "backend_config", Type: "BackendConfig | None", Count: 3
Parameter: "convert_custom_config", Type: "ConvertCustomConfig | dict[str, Any] | None", Count: 3
Parameter: "qconfig_mapping", Type: "QConfigMapping | dict[str, Any] | None", Count: 3
Parameter: "qconfig_mapping", Type: "QConfigMapping | dict[str, Any]", Count: 3
Parameter: "prepare_custom_config", Type: "PrepareCustomConfig | dict[str, Any] | None", Count: 3
Parameter: "grad_outputs", Type: "Tensor | Sequence[Tensor] | None", Count: 3
Parameter: "params", Type: "_SDPAParams", Count: 3
Parameter: "pg", Type: "ProcessGroup | None", Count: 3
Parameter: "metadata", Type: "Metadata | None", Count: 3
Parameter: "new_path", Type: "str | PathLike[Unknown]", Count: 3
Parameter: "planner", Type: "SavePlanner", Count: 3
Parameter: "sharding_spec", Type: "ShardingSpec", Count: 3
Parameter: "pg", Type: "ProcessGroup", Count: 3
Parameter: "spec", Type: "WorkerSpec", Count: 3
Parameter: "metric_data", Type: "MetricData", Count: 3
Parameter: "optim", Type: "Optimizer | None", Count: 3
Parameter: "stage_module", Type: "Module", Count: 3
Parameter: "pipe_info", Type: "PipeInfo", Count: 3
Parameter: "losses", Type: "list[Unknown] | None", Count: 3
Parameter: "rate", Type: "Tensor | float", Count: 3
Parameter: "loc", Type: "Tensor", Count: 3
Parameter: "proxy", Type: "Proxy", Count: 3
Parameter: "decomposition_table", Type: "Mapping[OpOverload[..., Any], (...) -> Unknown] | None", Count: 3
Parameter: "t", Type: "MetaTensorDesc[Unknown]", Count: 3
Parameter: "s", Type: "MetaStorageDesc", Count: 3
Parameter: "self", Type: "_LazyProtocol", Count: 3
Parameter: "tgt", Type: "Tensor", Count: 3
Parameter: "tgt_mask", Type: "Tensor | None", Count: 3
Parameter: "memory_mask", Type: "Tensor | None", Count: 3
Parameter: "src_key_padding_mask", Type: "Tensor | None", Count: 3
Parameter: "tgt_key_padding_mask", Type: "Tensor | None", Count: 3
Parameter: "memory_key_padding_mask", Type: "Tensor | None", Count: 3
Parameter: "output_device", Type: "int | device | None", Count: 3
Parameter: "value", Type: "Value", Count: 3
Parameter: "model", Type: "Module | ScriptModule", Count: 3
Parameter: "grad_scale", Type: "Tensor | None", Count: 3
Parameter: "found_inf", Type: "Tensor | None", Count: 3
Parameter: "sample_input", Type: "Tensor | Any", Count: 3
Parameter: "extensions", Type: "Iterable[Unknown]", Count: 3
Parameter: "header_include_dirs", Type: "Iterable[Unknown]", Count: 3
Parameter: "indices", Type: "SupportsIndex | bool | int | slice[Any, Any, Any] | EllipsisType | Tensor | _NestedSequence[bool | int | slice[Any, Any, Any] | EllipsisType | Tensor | None] | tuple[SupportsIndex | bool | int | slice[Any, Any, Any] | EllipsisType | Tensor | _NestedSequence[bool | int | slice[Any, Any, Any] | EllipsisType | Tensor | None] | None, ...] | None", Count: 2
Parameter: "weights", Type: "Tensor | None", Count: 2
Parameter: "minlength", Type: "int | SymInt", Count: 2
Parameter: "fweights", Type: "Tensor | None", Count: 2
Parameter: "aweights", Type: "Tensor | None", Count: 2
Parameter: "device", Type: "device | int | str | None", Count: 2
Parameter: "prepend", Type: "Tensor | None", Count: 2
Parameter: "append", Type: "Tensor | None", Count: 2
Parameter: "bins", Type: "Tensor", Count: 2
Parameter: "num_samples", Type: "int | SymInt", Count: 2
Parameter: "input3", Type: "Tensor", Count: 2
Parameter: "shifts", Type: "int | SymInt | Sequence[int | SymInt]", Count: 2
Parameter: "source", Type: "Storage | TypedStorage | UntypedStorage", Count: 2
Parameter: "tensor_indices_or_sections", Type: "Tensor", Count: 2
Parameter: "sections", Type: "int | SymInt", Count: 2
Parameter: "n", Type: "Value", Count: 2
Parameter: "val", Type: "Tensor", Count: 2
Parameter: "n", Type: "Block | Node", Count: 2
Parameter: "cu", Type: "CompilationUnit", Count: 2
Parameter: "map_location", Type: "str | device | int | None", Count: 2
Parameter: "outputs", Type: "Tensor", Count: 2
Parameter: "new_scale", Type: "float | Tensor | None", Count: 2
Parameter: "grad_out", Type: "Tensor", Count: 2
Parameter: "count", Type: "Tensor", Count: 2
Parameter: "boundaries", Type: "Tensor", Count: 2
Parameter: "z", Type: "Tensor", Count: 2
Parameter: "offsets", Type: "Tensor", Count: 2
Parameter: "packed_weight", Type: "Tensor", Count: 2
Parameter: "packed", Type: "Tensor", Count: 2
Parameter: "col_offsets", Type: "Tensor", Count: 2
Parameter: "elements", Type: "Tensor", Count: 2
Parameter: "test_elements", Type: "Tensor", Count: 2
Parameter: "std", Type: "Tensor", Count: 2
Parameter: "scales", Type: "Tensor", Count: 2
Parameter: "zero_points", Type: "Tensor", Count: 2
Parameter: "sorted_sequence", Type: "Tensor", Count: 2
Parameter: "sorter", Type: "Tensor | None", Count: 2
Parameter: "lengths", Type: "Tensor | None", Count: 2
Parameter: "ccol_indices", Type: "Tensor | list[Unknown]", Count: 2
Parameter: "row_indices", Type: "Tensor | list[Unknown]", Count: 2
Parameter: "crow_indices", Type: "Tensor | list[Unknown]", Count: 2
Parameter: "col_indices", Type: "Tensor | list[Unknown]", Count: 2
Parameter: "tensors", Type: "Tensor | list[Tensor]", Count: 2
Parameter: "M", Type: "Tensor | None", Count: 2
Parameter: "k", Type: "type[TorchDispatchMode] | type[Tensor] | TransformType | DispatchKey", Count: 2
Parameter: "options", Type: "dict[str, str | int | bool | ((...) -> Unknown)] | None", Count: 2
Parameter: "in_dims", Type: "int | tuple[Unknown, ...]", Count: 2
Parameter: "tensor", Type: "Tensor | None", Count: 2
Parameter: "param", Type: "Parameter | None", Count: 2
Parameter: "permutation", Type: "Tensor", Count: 2
Parameter: "gm_a", Type: "GraphModule", Count: 2
Parameter: "gm_b", Type: "GraphModule", Count: 2
Parameter: "n", Type: "Node | None", Count: 2
Parameter: "exporter", Type: "PackageExporter", Count: 2
Parameter: "first_node", Type: "Node", Count: 2
Parameter: "last_node", Type: "Node", Count: 2
Parameter: "mt", Type: "GraphModule", Count: 2
Parameter: "node_type_to_io_type_map", Type: "dict[str, set[((...) -> Unknown) | str]]", Count: 2
Parameter: "op_pattern", Type: "((...) -> Unknown) | tuple[(...) -> Unknown, (...) -> Unknown] | tuple[(...) -> Unknown, tuple[(...) -> Unknown, (...) -> Unknown]] | Any", Count: 2
Parameter: "qconfig_mapping", Type: "QConfigMapping | None", Count: 2
Parameter: "fused_graph", Type: "Graph", Count: 2
Parameter: "root_node", Type: "Node", Count: 2
Parameter: "fuse_custom_config", Type: "FuseCustomConfig", Count: 2
Parameter: "fuse_custom_config", Type: "FuseCustomConfig | dict[str, Any] | None", Count: 2
Parameter: "node_name_to_match_result_with_qconfig", Type: "dict[str, tuple[Node, list[Node], ((...) -> Unknown) | tuple[(...) -> Unknown, (...) -> Unknown] | tuple[(...) -> Unknown, tuple[(...) -> Unknown, (...) -> Unknown]] | Any | None, QuantizeHandler, QConfig | None]]", Count: 2
Parameter: "prepare_custom_config", Type: "PrepareCustomConfig", Count: 2
Parameter: "_equalization_config", Type: "QConfigMapping | dict[str, Any] | None", Count: 2
Parameter: "quantizer", Type: "Quantizer", Count: 2
Parameter: "stream", Type: "_CudaStreamBase", Count: 2
Parameter: "allocator", Type: "_CUDAAllocator", Count: 2
Parameter: "s", Type: "Storage", Count: 2
Parameter: "obj", Type: "ScriptObject", Count: 2
Parameter: "pool", Type: "MemPool", Count: 2
Parameter: "ddp", Type: "DistributedDataParallel", Count: 2
Parameter: "zero", Type: "ZeroRedundancyOptimizer", Count: 2
Parameter: "state", Type: "PowerSGDState", Count: 2
Parameter: "storage_meta", Type: "StorageMeta | None", Count: 2
Parameter: "dcp_checkpoint_dir", Type: "str | PathLike[Unknown]", Count: 2
Parameter: "torch_save_path", Type: "str | PathLike[Unknown]", Count: 2
Parameter: "storage_reader", Type: "StorageReader", Count: 2
Parameter: "planner", Type: "LoadPlanner | None", Count: 2
Parameter: "handler", Type: "MetricHandler", Count: 2
Parameter: "mp_queue", Type: "Queue[Unknown]", Count: 2
Parameter: "datasets", Type: "Iterable[Dataset[Unknown]]", Count: 2
Parameter: "mesh", Type: "DeviceMesh | None", Count: 2
Parameter: "config", Type: "LaunchConfig", Count: 2
Parameter: "module_cls", Type: "type[Module]", Count: 2
Parameter: "args", Type: "tuple[Unknown, ...] | None", Count: 2
Parameter: "submodule", Type: "Module", Count: 2
Parameter: "device_mesh", Type: "DeviceMesh", Count: 2
Parameter: "tensor", Type: "DTensor", Count: 2
Parameter: "parent_mesh", Type: "DeviceMesh | None", Count: 2
Parameter: "concentration1", Type: "Tensor | float", Count: 2
Parameter: "concentration0", Type: "Tensor | float", Count: 2
Parameter: "df", Type: "Tensor | float", Count: 2
Parameter: "concentration", Type: "Tensor", Count: 2
Parameter: "p", Type: "Distribution", Count: 2
Parameter: "q", Type: "Distribution", Count: 2
Parameter: "covariance_matrix", Type: "Tensor | None", Count: 2
Parameter: "precision_matrix", Type: "Tensor | None", Count: 2
Parameter: "scale_tril", Type: "Tensor | None", Count: 2
Parameter: "logits", Type: "Tensor", Count: 2
Parameter: "probs", Type: "Tensor", Count: 2
Parameter: "x", Type: "bool | Unknown", Count: 2
Parameter: "module", Type: "ExportedProgram", Count: 2
Parameter: "args", Type: "Any | tuple[Unknown, ...] | None", Count: 2
Parameter: "futures", Type: "list[Future[Unknown]]", Count: 2
Parameter: "pattern", Type: "((...) -> Unknown) | GraphModule", Count: 2
Parameter: "replacement", Type: "((...) -> Unknown) | GraphModule", Count: 2
Parameter: "submodule_node", Type: "Node", Count: 2
Parameter: "e1", Type: "TVar", Count: 2
Parameter: "e2", Type: "TVar", Count: 2
Parameter: "e11", Type: "TVar", Count: 2
Parameter: "e12", Type: "TVar", Count: 2
Parameter: "val", Type: "SymInt | SymFloat | SymBool | ScriptObject | FakeScriptObject | BackwardState | list[_ExtractValType] | tuple[_ExtractValType, ...] | dict[str, _ExtractValType] | Tensor | int | float | bool | None", Count: 2
Parameter: "constant", Type: "Tensor | None", Count: 2
Parameter: "proxy_mode", Type: "ProxyTorchDispatchMode", Count: 2
Parameter: "shape_env", Type: "ShapeEnv", Count: 2
Parameter: "constraint_dim", Type: "StrictMinMaxConstraint | RelaxedUnspecConstraint | None", Count: 2
Parameter: "symbolic_context", Type: "StatelessSymbolicContext[..., Unknown] | None", Count: 2
Parameter: "elem", Type: "Tensor", Count: 2
Parameter: "a", Type: "int | SymInt", Count: 2
Parameter: "a", Type: "float | SymFloat", Count: 2
Parameter: "val", Type: "SymInt | SymFloat | SymBool | int | float | bool | Any | Tensor | Sequence[SymInt | SymFloat | SymBool | int | float | bool | Any | Tensor]", Count: 2
Parameter: "x", Type: "SymInt | SymFloat | SymBool | int | float | bool | Any | Tensor | Sequence[SymInt | SymFloat | SymBool | int | float | bool | Any | Tensor]", Count: 2
Parameter: "others", Type: "bool | SymBool", Count: 2
Parameter: "a", Type: "SymInt", Count: 2
Parameter: "device", Type: "device | str", Count: 2
Parameter: "s", Type: "UntypedStorage", Count: 2
Parameter: "pytype", Type: "type[Tensor] | None", Count: 2
Parameter: "fake_mode", Type: "FakeTensorMode", Count: 2
Parameter: "importer", Type: "PackageImporter", Count: 2
Parameter: "operator_support", Type: "OperatorSupportBase", Count: 2
Parameter: "op_support", Type: "OperatorSupportBase", Count: 2
Parameter: "lib", Type: "Library", Count: 2
Parameter: "var", Type: "Tensor | float", Count: 2
Parameter: "src_mask", Type: "Tensor | None", Count: 2
Parameter: "norm", Type: "Module | None", Count: 2
Parameter: "memory", Type: "Tensor", Count: 2
Parameter: "kv_num_blocks", Type: "Tensor", Count: 2
Parameter: "kv_indices", Type: "Tensor", Count: 2
Parameter: "full_kv_num_blocks", Type: "Tensor | None", Count: 2
Parameter: "full_kv_indices", Type: "Tensor | None", Count: 2
Parameter: "target_device", Type: "int | device", Count: 2
Parameter: "inputs", Type: "Tensor", Count: 2
Parameter: "parameters", Type: "Tensor | Iterable[Tensor]", Count: 2
Parameter: "conv_w", Type: "Tensor", Count: 2
Parameter: "conv_b", Type: "Tensor | None", Count: 2
Parameter: "bn_w", Type: "Tensor | None", Count: 2
Parameter: "bn_b", Type: "Tensor | None", Count: 2
Parameter: "linear_w", Type: "Tensor", Count: 2
Parameter: "linear_b", Type: "Tensor | None", Count: 2
Parameter: "bn_w", Type: "Tensor", Count: 2
Parameter: "bn_b", Type: "Tensor", Count: 2
Parameter: "raw_args", Type: "Tensor | Value", Count: 2
Parameter: "pad", Type: "Value", Count: 2
Parameter: "mode", Type: "Value", Count: 2
Parameter: "tensor_list", Type: "Value", Count: 2
Parameter: "execution_trace_observer", Type: "_ITraceObserver | None", Count: 2
Parameter: "safe_globals", Type: "list[((...) -> Unknown) | tuple[(...) -> Unknown, str]]", Count: 2
Parameter: "a", Type: "Iterable[Unknown]", Count: 2
Parameter: "loss_fn", Type: "Module | ((...) -> Unknown) | None", Count: 2
Parameter: "conversion", Type: "((...) -> Any) | dict[str | Any, ((...) -> Unknown) | Any] | None", Count: 2
Parameter: "datapipes", Type: "MapDataPipe[Unknown]", Count: 2
Parameter: "indices", Type: "list[Unknown] | None", Count: 2
Parameter: "dataset", Type: "Dataset[_T@random_split]", Count: 2
Parameter: "includes", Type: "Iterable[Unknown]", Count: 2
Parameter: "ignores", Type: "Iterable[Unknown]", Count: 2
Parameter: "all_files", Type: "Iterable[Unknown]", Count: 2
Parameter: "stats", Type: "dict[str, list[Unknown]]", Count: 2
Parameter: "clean_ctx", Type: "GeneratedFileCleaner", Count: 2
Parameter: "script_module", Type: "ScriptModule", Count: 2
Parameter: "event", Type: "Event | None", Count: 1
Parameter: "fut", Type: "Future[Unknown]", Count: 1
Parameter: "kwargs", Type: "dict[Unknown, Unknown]", Count: 1
Parameter: "value", Type: "Tensor | int | float | bool", Count: 1
Parameter: "_new_state", Type: "Tensor", Count: 1
Parameter: "p", Type: "Tensor", Count: 1
Parameter: "s", Type: "Stream", Count: 1
Parameter: "shape", Type: "int | SymInt", Count: 1
Parameter: "storage_offset", Type: "int | SymInt", Count: 1
Parameter: "dims", Type: "int | SymInt", Count: 1
Parameter: "newValue", Type: "Value", Count: 1
Parameter: "from_", Type: "Value", Count: 1
Parameter: "to", Type: "Value", Count: 1
Parameter: "export_writer", Type: "PyTorchFileWriter", Count: 1
Parameter: "data", Type: "Storage | bytes | int", Count: 1
Parameter: "t", Type: "type[Tensor] | str", Count: 1
Parameter: "sum_dy", Type: "Tensor", Count: 1
Parameter: "sum_dy_xmu", Type: "Tensor", Count: 1
